State,Q4 Dependent Students,Q4 Independent Students,Q4 Total,YTD Dependent Students,YTD Independent Students,YTD Total
Alabama                       ,18047,30465,48512,99986,115493,215479
Alaska                        ,1616,3928,5544,11447,16984,28431
Alberta                       ,26,25,51,126,108,234
American Samoa                ,559,271,830,1134,755,1889
Arizona                       ,17736,40058,57794,131377,166456,297833
Arkansas                      ,10879,19672,30551,62279,75586,137865
Blank                         ,61864,50,61914,247624,174,247798
British Columbia              ,19,18,37,185,124,309
California                    ,82242,199712,281954,1044309,1049774,2094083
Canada                        ,56,63,119,292,222,514
Colorado                      ,14814,29295,44109,110758,126252,237010
Connecticut                   ,10457,17505,27962,100832,77883,178715
Delaware                      ,2501,4972,7473,21646,21054,42700
District of Columbia          ,902,3591,4493,9556,15447,25003
Federated States of Micronesia,897,477,1374,1292,811,2103
Florida                       ,67328,131012,198340,448749,559163,1007912
Foreign Country               ,3231,1338,4569,28197,6175,34372
Georgia                       ,43522,75563,119085,280911,317289,598200
Guam                          ,816,726,1542,3303,2790,6093
Hawaii                        ,2846,5550,8396,27657,25231,52888
Idaho                         ,4130,8693,12823,35090,39740,74830
Illinois                      ,31137,57041,88178,339430,265553,604983
Indiana                       ,8661,27483,36144,156450,149997,306447
Iowa                          ,7900,12525,20425,74388,54390,128778
Kansas                        ,8484,13328,21812,62258,56701,118959
Kentucky                      ,11846,25084,36930,95066,110455,205521
Labrador                      ,2,1,3,7,7,14
Louisiana                     ,17316,32414,49730,117953,129813,247766
Maine                         ,2288,4886,7174,29125,25209,54334
Manitoba                      ,5,7,12,27,22,49
Marshall Islands              ,375,125,500,558,311,869
Maryland                      ,14328,31439,45767,144288,150751,295039
Massachusetts                 ,16055,27794,43849,177621,129535,307156
Mexico                        ,1665,53,1718,15966,292,16258
Michigan                      ,26728,48201,74929,236099,207499,443598
Minnesota                     ,27525,31914,59439,137732,106531,244263
Mississippi                   ,14133,23906,38039,73878,86220,160098
Missouri                      ,17385,29500,46885,132015,127339,259354
Montana                       ,2237,4725,6962,16531,19600,36131
Nebraska                      ,5412,8262,13674,47186,36689,83875
Nevada                        ,5718,15888,21606,56053,71165,127218
New Brunswick                 ,0,4,4,16,21,37
Newfoundland                  ,0,2,2,9,14,23
New Hampshire                 ,2839,4827,7666,31010,22305,53315
New Jersey                    ,27937,40111,68048,267224,181872,449096
New Mexico                    ,6971,13831,20802,38011,49071,87082
New York                      ,73445,96596,170041,521212,393595,914807
North Carolina                ,29967,60536,90503,229850,257740,487590
North Dakota                  ,2824,3841,6665,14211,13881,28092
Northern Mariana Islands      ,294,234,528,1333,848,2181
Northwest Territories         ,0,5,5,2,10,12
Nova Scotia                   ,0,5,5,12,14,26
Nunavut                       ,0,2,2,3,4,7
Ohio                          ,33416,58613,92029,258117,246601,504718
Oklahoma                      ,12088,22988,35076,73035,88826,161861
Ontario                       ,71,59,130,510,275,785
Oregon                        ,6394,16747,23141,79001,92143,171144
Palau                         ,82,96,178,426,315,741
Pennsylvania                  ,29168,46429,75597,297990,224748,522738
Prince Edward Island          ,2,7,9,11,17,28
Puerto Rico                   ,30145,30853,60998,107622,74640,182262
Quebec                        ,26,18,44,87,69,156
Rhode Island                  ,3229,4972,8201,27731,21578,49309
Saskatchewan                  ,3,4,7,24,16,40
South Carolina                ,19070,31454,50524,112536,122023,234559
South Dakota                  ,3156,4124,7280,18046,14372,32418
Tennessee                     ,13564,37488,51052,176670,175446,352116
Texas                         ,89084,174076,263160,680594,737182,1417776
Utah                          ,10174,21850,32024,57291,87957,145248
Vermont                       ,1195,2278,3473,13019,9576,22595
Virginia                      ,22230,43925,66155,191941,191856,383797
Virgin Islands                ,290,335,625,1920,1469,3389
Washington                    ,12952,35067,48019,135813,172761,308574
West Virginia                 ,3298,8063,11361,36319,38712,75031
Wisconsin                     ,17080,24338,41418,125590,102351,227941
Wyoming                       ,1843,3491,5334,9489,12731,22220
Yukon                         ,1,4,5,6,14,20
